"TrialNumber","TriggerActivated","MemoryAtTriggerMi","ExitCode","TerminationReason","MonitoringStartTime","TriggerTime","CollectionStartTime","CollectionEndTime","TriggerToCollectionMs","CollectionDurationMs","BaselineCpuMeanMillicores","CollectionCpuMeanMillicores","CollectionCpuPeakMillicores","CpuOverheadMillicores","BaselineMemoryMeanMi","CollectionMemoryMeanMi","CollectionMemoryPeakMi","MemoryOverheadMi","IncidentDirectory"
"1","True","1080.312","","","2026-07-22 15:34:11.341","2026-07-22 15:34:50.543","2026-07-22 15:34:50.547","2026-07-22 15:34:55.048","3.57","4501.503","50.798","236.021","274.497","185.223","1021.546","1080.312","1080.312","58.766","Forensic_Incident_Trial_1_1534_50"
"2","True","1067.312","","","2026-07-22 15:42:04.690","2026-07-22 15:42:31.002","2026-07-22 15:42:31.004","2026-07-22 15:42:34.177","2.065","3172.842","83.884","330.796","330.796","246.912","1022.256","1067.312","1067.312","45.056","Forensic_Incident_Trial_2_1542_31"
"3","True","1056.133","","","2026-07-22 15:48:38.887","2026-07-22 15:49:00.852","2026-07-22 15:49:00.854","2026-07-22 15:49:06.127","2.089","5272.705","222.917","492.842","534.579","269.925","1036.021","1056.133","1056.133","20.112","Forensic_Incident_Trial_3_1549_00"
